"","task_Type","Congruency","num_ratio","CH_Ratio","Density_Ratio","Surface_Ratio","ADS_Ratio","present_time","seen"
"256","Numerical judgment","Congruent","0.6",0.5455,0.2204,0.1202,0.2004,0.5,0.923076923076923
"257","Numerical judgment","Congruent","0.6",0.5459,0.2198,0.12,0.2,0.017,0.3
"258","Numerical judgment","Congruent","0.6",0.5459,0.2198,0.12,0.2,0.034,0.6
"259","Numerical judgment","Congruent","0.6",0.5459,0.2198,0.12,0.2,0.1,0.875
"260","Numerical judgment","Congruent","0.6",0.5459,0.2198,0.12,0.2,0.5,0.666666666666667
"261","Numerical judgment","Congruent","0.6",0.5459,0.2204,0.1203,0.2005,0.017,0.5
"262","Numerical judgment","Congruent","0.6",0.5459,0.2204,0.1203,0.2005,0.034,0.666666666666667
"263","Numerical judgment","Congruent","0.6",0.5459,0.2204,0.1203,0.2005,0.1,0.857142857142857
"264","Numerical judgment","Congruent","0.6",0.5459,0.2204,0.1203,0.2005,0.5,1
"265","Numerical judgment","Congruent","0.6",0.5482,0.2199,0.1205,0.2009,0.017,0.625
"266","Numerical judgment","Congruent","0.6",0.5482,0.2199,0.1205,0.2009,0.034,0.916666666666667
"267","Numerical judgment","Congruent","0.6",0.5482,0.2199,0.1205,0.2009,0.1,1
"268","Numerical judgment","Congruent","0.6",0.5482,0.2199,0.1205,0.2009,0.5,0.909090909090909
"269","Numerical judgment","Congruent","0.6",0.551,0.2183,0.1203,0.2005,0.017,0.444444444444444
"270","Numerical judgment","Congruent","0.6",0.551,0.2183,0.1203,0.2005,0.034,0.571428571428571
"271","Numerical judgment","Congruent","0.6",0.551,0.2183,0.1203,0.2005,0.1,0.833333333333333
"272","Numerical judgment","Congruent","0.6",0.551,0.2183,0.1203,0.2005,0.5,1
"273","Numerical judgment","Congruent","0.6",0.5511,0.2198,0.1211,0.2019,0.017,0.461538461538462
"274","Numerical judgment","Congruent","0.6",0.5511,0.2198,0.1211,0.2019,0.034,0.4
"275","Numerical judgment","Congruent","0.6",0.5511,0.2198,0.1211,0.2019,0.1,0.9
"276","Numerical judgment","Congruent","0.6",0.5511,0.2198,0.1211,0.2019,0.5,1
"277","Numerical judgment","Congruent","0.6",0.5512,0.2189,0.1206,0.2011,0.017,0.4
"278","Numerical judgment","Congruent","0.6",0.5512,0.2189,0.1206,0.2011,0.034,0.5
"279","Numerical judgment","Congruent","0.6",0.5512,0.2189,0.1206,0.2011,0.1,1
"280","Numerical judgment","Congruent","0.6",0.5512,0.2189,0.1206,0.2011,0.5,1
"281","Numerical judgment","Congruent","0.6",0.552,0.2179,0.1203,0.2005,0.017,0.3
"282","Numerical judgment","Congruent","0.6",0.552,0.2179,0.1203,0.2005,0.034,0.444444444444444
